X,CH1,CH2,CH4,Start,Increment
Sequence,Volt,Volt,Volt,-0.0006,1E-06
202,-0.008,0.08,0.2,,
203,-0.008,0.08,0.2,,
204,0,0.08,0.2,,
205,0,0.08,0.2,,
206,-0.008,0.08,0.2,,
207,-0.008,0.08,0.2,,
208,0.008,0.08,0.2,,
209,0.008,0.08,0.2,,
210,-0.008,0.08,0.2,,
211,-0.008,0.08,0.2,,
212,0,0.08,0.2,,
213,0,0.08,0.2,,
214,-0.008,0,0.2,,
215,-0.008,0,0.2,,
216,-0.008,0.08,0.2,,
217,-0.008,0.08,0.2,,
218,0,0.08,0.2,,
219,0,0.08,0.2,,
220,0,0.08,0.2,,
221,0,0.08,0.2,,
222,0,0.08,0.2,,
223,0,0.08,0.2,,
224,0,0.08,0.2,,
225,0,0.08,0.2,,
226,0,0.08,0.2,,
227,0,0.08,0.2,,
228,-0.008,0.08,0.2,,
229,-0.008,0.08,0.2,,
230,-0.008,0.08,0,,
231,-0.008,0.08,0,,
232,-0.008,0.08,0.2,,
233,-0.008,0.08,0.2,,
234,0,0.08,0.2,,
235,0,0.08,0.2,,
236,-0.008,0.08,0.2,,
237,-0.008,0.08,0.2,,
238,-0.008,0.08,0.2,,
239,-0.008,0.08,0.2,,
240,-0.008,0,0.2,,
241,-0.008,0,0.2,,
242,0,0.08,0.2,,
243,0,0.08,0.2,,
244,-0.008,0.08,0.2,,
245,-0.008,0.08,0.2,,
246,-0.008,0.08,0.2,,
247,-0.008,0.08,0.2,,
248,-0.008,0.08,0.2,,
249,-0.008,0.08,0.2,,
250,-0.008,0.08,0.2,,
251,-0.008,0.08,0.2,,
252,-0.008,0.08,0.2,,
253,-0.008,0.08,0.2,,
254,0,0.08,0.2,,
255,0,0.08,0.2,,
256,-0.008,0.08,0.2,,
257,-0.008,0.08,0.2,,
258,-0.008,0.08,0.2,,
259,-0.008,0.08,0.2,,
260,-0.008,0.16,0,,
261,-0.008,0.16,0,,
262,-0.008,0.08,0.2,,
263,-0.008,0.08,0.2,,
264,0,0.08,0.2,,
265,0,0.08,0.2,,
266,-0.008,0.08,0.2,,
267,-0.008,0.08,0.2,,
268,-0.008,0.08,0.2,,
269,-0.008,0.08,0.2,,
270,-0.016,0.08,0.2,,
271,-0.016,0.08,0.2,,
272,-0.04,0.08,0.4,,
273,-0.04,0.08,0.4,,
274,-0.104,0.08,0.4,,
275,-0.104,0.08,0.4,,
276,-0.136,0.08,0.8,,
277,-0.136,0.08,0.8,,
278,-0.152,0.08,1,,
279,-0.152,0.08,1,,
280,-0.168,0.08,1.2,,
281,-0.168,0.08,1.2,,
282,-0.2,0.08,1.6,,
283,-0.2,0.08,1.6,,
284,-0.232,0,2,,
285,-0.232,0,2,,
286,-0.336,0,2.8,,
287,-0.336,0,2.8,,
288,-0.568,0,3.6,,
289,-0.568,0,3.6,,
290,-0.784,0.08,4.8,,
291,-0.784,0.08,4.8,,
292,-0.88,0.08,6.2,,
293,-0.88,0.08,6.2,,
294,-0.76,0,7.8,,
295,-0.76,0,7.8,,
296,-0.464,0.08,8.8,,
297,-0.464,0.08,8.8,,
298,-0.256,0.08,9.4,,
299,-0.256,0.08,9.4,,
300,-0.128,0.08,9.6,,
301,-0.128,0.08,9.6,,
302,-0.064,0.08,9.6,,
303,-0.064,0.08,9.6,,
304,-0.04,0.08,9.8,,
305,-0.04,0.08,9.8,,
306,-0.016,0.08,10,,
307,-0.016,0.08,10,,
308,-0.016,0.08,9.8,,
309,-0.016,0.08,9.8,,
310,-0.008,0,9.8,,
311,-0.008,0,9.8,,
312,-0.016,0.08,10,,
313,-0.016,0.08,10,,
314,-0.008,0.08,9.8,,
315,-0.008,0.08,9.8,,
316,-0.008,0.08,9.8,,
317,-0.008,0.08,9.8,,
318,-0.008,0.08,9.8,,
319,-0.008,0.08,9.8,,
320,-0.008,0.08,9.8,,
321,-0.008,0.08,9.8,,
322,-0.008,0,9.8,,
323,-0.008,0,9.8,,
324,-0.016,0.08,9.8,,
