X,CH1,CH2,CH3,CH4,Start,Increment
Sequence,Volt,Volt,Volt,Volt,-3E-05,5E-08
172,10,0.124,-0.12,0,,
173,10,0.124,-0.12,0,,
174,10,0.122,-0.12,0,,
175,10,0.122,-0.12,0,,
176,10.2,0.124,-0.12,0,,
177,10.2,0.124,-0.12,0,,
178,10,0.122,-0.12,0,,
179,10,0.122,-0.12,0,,
180,10.2,0.122,-0.12,-0.2,,
181,10.2,0.122,-0.12,-0.2,,
182,10,0.122,-0.12,-0.2,,
183,10,0.122,-0.12,-0.2,,
184,10.2,0.122,-0.12,-0.2,,
185,10.2,0.122,-0.12,-0.2,,
186,10.2,0.122,-0.12,0,,
187,10.2,0.122,-0.12,0,,
188,10,0.122,-0.12,0,,
189,10,0.122,-0.12,0,,
190,10,0.122,-0.12,0,,
191,10,0.122,-0.12,0,,
192,10,0.122,-0.12,0,,
193,10,0.122,-0.12,0,,
194,10,0.122,-0.12,0,,
195,10,0.122,-0.12,0,,
196,10.2,0.122,-0.12,0,,
197,10.2,0.122,-0.12,0,,
198,10,0.002,0.012,0,,
199,10,0.002,0.012,0,,
200,9.8,-0.122,0.128,0,,
201,9.8,-0.122,0.128,0,,
202,9.2,-0.124,0.126,0,,
203,9.2,-0.124,0.126,0,,
204,8.4,-0.122,0.124,0,,
205,8.4,-0.122,0.124,0,,
206,7.6,-0.124,0.126,0,,
207,7.6,-0.124,0.126,0,,
208,7,-0.122,0.124,0,,
209,7,-0.122,0.124,0,,
210,6.2,-0.122,0.124,-0.2,,
211,6.2,-0.122,0.124,-0.2,,
212,5.4,-0.122,0.124,0,,
213,5.4,-0.122,0.124,0,,
214,5,-0.122,0.124,0,,
215,5,-0.122,0.124,0,,
216,4.4,-0.122,0.124,-0.2,,
217,4.4,-0.122,0.124,-0.2,,
218,3.8,-0.122,0.122,0,,
219,3.8,-0.122,0.122,0,,
220,3,-0.122,0.122,0,,
221,3,-0.122,0.122,0,,
222,2.6,-0.122,0.124,0,,
223,2.6,-0.122,0.124,0,,
224,2.2,-0.122,0.124,0,,
225,2.2,-0.122,0.124,0,,
226,1.4,-0.122,0.124,0,,
227,1.4,-0.122,0.124,0,,
228,1,-0.122,0.124,0,,
229,1,-0.122,0.124,0,,
230,0.6,-0.122,0.124,0,,
231,0.6,-0.122,0.124,0,,
232,0.4,-0.122,0.124,-0.2,,
233,0.4,-0.122,0.124,-0.2,,
234,-0.2,-0.122,0.124,0,,
235,-0.2,-0.122,0.124,0,,
236,-0.6,-0.122,0.124,0,,
237,-0.6,-0.122,0.124,0,,
238,-1,-0.122,0.124,0,,
239,-1,-0.122,0.124,0,,
240,-1.4,-0.122,0.124,-0.2,,
241,-1.4,-0.122,0.124,-0.2,,
242,-1.8,-0.122,0.124,0,,
243,-1.8,-0.122,0.124,0,,
244,-2,-0.122,0.124,0,,
245,-2,-0.122,0.124,0,,
246,-2.4,-0.122,0.124,0,,
247,-2.4,-0.122,0.124,0,,
248,-2.8,-0.122,0.124,0,,
249,-2.8,-0.122,0.124,0,,
250,-3,-0.122,0.124,0,,
251,-3,-0.122,0.124,0,,
252,-3.2,-0.122,0.124,0,,
253,-3.2,-0.122,0.124,0,,
254,-3.6,-0.122,0.124,0,,
255,-3.6,-0.122,0.124,0,,
256,-3.6,-0.122,0.124,0,,
257,-3.6,-0.122,0.124,0,,
258,-4,-0.122,0.124,0,,
259,-4,-0.122,0.124,0,,
260,-4.4,-0.122,0.124,0,,
261,-4.4,-0.122,0.124,0,,
262,-4.4,-0.122,0.124,0,,
263,-4.4,-0.122,0.124,0,,
264,-4.6,-0.122,0.124,-0.2,,
265,-4.6,-0.122,0.124,-0.2,,
266,-5,-0.122,0.124,0,,
267,-5,-0.122,0.124,0,,
268,-5.2,-0.122,0.124,0,,
269,-5.2,-0.122,0.124,0,,
270,-5.2,-0.122,0.124,0,,
271,-5.2,-0.122,0.124,0,,
272,-5.6,-0.122,0.124,0,,
273,-5.6,-0.122,0.124,0,,
274,-5.8,-0.122,0.124,0,,
275,-5.8,-0.122,0.124,0,,
276,-6,-0.122,0.124,-0.2,,
277,-6,-0.122,0.124,-0.2,,
278,-6,-0.122,0.124,0,,
279,-6,-0.122,0.124,0,,
280,-6,-0.122,0.124,0,,
281,-6,-0.122,0.124,0,,
282,-6.2,-0.122,0.124,-0.2,,
283,-6.2,-0.122,0.124,-0.2,,
284,-6.4,-0.122,0.124,0,,
285,-6.4,-0.122,0.124,0,,
286,-6.6,-0.122,0.124,0,,
287,-6.6,-0.122,0.124,0,,
288,-6.8,-0.122,0.124,-0.2,,
289,-6.8,-0.122,0.124,-0.2,,
