X,CH1,CH2,CH3,CH4,Start,Increment
Sequence,Volt,Volt,Volt,Volt,-0.000704,1E-06
158,0,0.72,-0.0254,0.08,,
159,0,0.72,-0.0254,0.08,,
160,0.0008,0.74,-0.0254,0,,
161,0.0008,0.74,-0.0254,0,,
162,0,0.74,-0.0254,0,,
163,0,0.74,-0.0254,0,,
164,0.0008,0.72,-0.0254,0,,
165,0.0008,0.72,-0.0254,0,,
166,0,0.72,-0.0254,0,,
167,0,0.72,-0.0254,0,,
168,0,0.72,-0.0254,0.08,,
169,0,0.72,-0.0254,0.08,,
170,0,0.74,-0.0254,0.08,,
171,0,0.74,-0.0254,0.08,,
172,0,0.72,-0.0254,0.08,,
173,0,0.72,-0.0254,0.08,,
174,0.0008,0.74,-0.0254,0.08,,
175,0.0008,0.74,-0.0254,0.08,,
176,0,0.74,-0.0254,0.08,,
177,0,0.74,-0.0254,0.08,,
178,0.0008,0.74,-0.0254,0.08,,
179,0.0008,0.74,-0.0254,0.08,,
180,0.0008,0.74,-0.0254,0.08,,
181,0.0008,0.74,-0.0254,0.08,,
182,0,0.74,-0.0254,0.08,,
183,0,0.74,-0.0254,0.08,,
184,0,0.72,-0.0254,0.08,,
185,0,0.72,-0.0254,0.08,,
186,0,0.74,-0.0254,0,,
187,0,0.74,-0.0254,0,,
188,0,0.74,-0.0254,0,,
189,0,0.74,-0.0254,0,,
190,0,0.72,-0.0254,0,,
191,0,0.72,-0.0254,0,,
192,0.0008,0.72,-0.0254,0,,
193,0.0008,0.72,-0.0254,0,,
194,0,0.74,-0.0254,0,,
195,0,0.74,-0.0254,0,,
196,0,0.72,-0.0254,0,,
197,0,0.72,-0.0254,0,,
198,0.0008,0.74,-0.0254,0,,
199,0.0008,0.74,-0.0254,0,,
200,0.0008,0.72,-0.0254,0,,
201,0.0008,0.72,-0.0254,0,,
202,-0.0008,0.06,-0.0254,0,,
203,-0.0008,0.06,-0.0254,0,,
204,0.0008,0,-0.0254,0.08,,
205,0.0008,0,-0.0254,0.08,,
206,0.0008,0,-0.0254,0,,
207,0.0008,0,-0.0254,0,,
208,0,-0.02,-0.0254,0,,
209,0,-0.02,-0.0254,0,,
210,0.0016,0,-0.0254,0,,
211,0.0016,0,-0.0254,0,,
212,0.0008,-0.02,-0.0254,0,,
213,0.0008,-0.02,-0.0254,0,,
214,0.0008,0,-0.0254,0,,
215,0.0008,0,-0.0254,0,,
216,0.0008,-0.02,-0.0254,0,,
217,0.0008,-0.02,-0.0254,0,,
218,0.0008,-0.02,-0.0254,0.08,,
219,0.0008,-0.02,-0.0254,0.08,,
220,0.0016,0,-0.0254,0.08,,
221,0.0016,0,-0.0254,0.08,,
222,0,0,-0.0254,0.08,,
223,0,0,-0.0254,0.08,,
224,0.0008,-0.02,-0.0254,0.08,,
225,0.0008,-0.02,-0.0254,0.08,,
226,0,0,-0.0254,0,,
227,0,0,-0.0254,0,,
228,0,0,-0.0254,0,,
229,0,0,-0.0254,0,,
230,0,0,-0.0254,0.08,,
231,0,0,-0.0254,0.08,,
232,0,-0.02,-0.0254,0.08,,
233,0,-0.02,-0.0254,0.08,,
